cluster_number,location,assignment
2,North,2
3,North,1
5,North,2
7,North,1
8,North,2
9,North,1
10,North,1
11,North,2
12,North,1
13,North,2
14,North,2
15,North,1
16,North,2
17,North,2
18,North,1
19,North,2
20,North,1
21,North,1
22,North,2
23,North,2
24,North,1
25,North,1
26,North,2
27,North,1
28,North,1
29,North,2
30,North,1
31,North,1
33,North,2
34,North,2
36,North,2
37,North,2
38,North,1
39,North,1
40,North,2
41,North,1
42,North,2
43,North,2
44,North,2
45,North,2
46,North,1
48,North,1
53,North,2
55,North,1
56,North,2
49,South,1
50,South,1
51,South,2
54,South,2
57,South,2
58,South,2
59,South,1
60,South,1
61,South,2
62,South,2
63,South,1
64,South,2
65,South,1
67,South,1
68,South,1
69,South,1
70,South,1
72,South,1
73,South,2
74,South,1
75,South,2
77,South,1
78,South,2
79,South,2
80,South,1
81,South,1
82,South,2
83,South,1
84,South,2
85,South,1
87,South,1
88,South,2
90,South,2
91,South,2
92,South,2
93,South,1
94,South,1
95,South,1
96,South,2
