cluster,extid,priority_number
2,02052-03,1
2,02052-04,2
2,02044-03,3
2,02044-04,4
2,02048-03,5
2,02059-03,6
2,02072-04,7
2,02072-05,8
2,02008-05,9
2,02008-06,10
2,02006-03,11
2,02006-04,12
2,02041-05,13
2,02015-03,14
2,02060-03,15
2,02064-02,16
2,02042-02,17
2,02042-03,18
2,02042-04,19
2,02042-05,20
2,02037-04,21
2,02037-05,22
2,02037-06,23
2,02037-08,24
2,02036-02,25
2,02036-03,26
2,02054-03,27
2,02054-04,28
2,02003-05,29
2,02003-06,30
2,02080-4,31
2,02057-05,32
2,02074-04,33
3,03092-03,1
3,03092-04,2
3,03058-03,3
3,03058-04,4
3,03058-05,5
3,03058-06,6
3,03060-02,7
3,03060-03,8
3,03060-04,9
3,03056-03,10
3,03093-03,11
3,03093-04,12
3,03093-09,13
3,03093-10,14
3,03052-02,15
3,03091-02,16
3,03026-05,17
3,03026-06,18
3,03026-07,19
3,03045-03,20
3,03045-04,21
3,03015-04,22
3,03015-05,23
3,03009-03,24
3,03009-04,25
3,03021-03,26
3,03010-03,27
3,03063-02,28
3,03063-03,29
3,03022-03,30
3,03018-04,31
3,03001-04,32
3,03001-05,33
3,03001-06,34
3,03020-03,35
5,05048-04,1
5,05017-03,2
5,05017-04,3
5,05017-05,4
5,05014-04,5
5,05014-05,6
5,05052-03,7
5,05013-06,8
5,05013-07,9
5,05007-05,10
5,05007-06,11
5,05012-03,12
5,05012-04,13
5,05012-05,14
5,05012-06,15
5,05076-02,16
5,05076-03,17
5,05044-04,18
5,05046-04,19
5,05046-05,20
5,05018-03,21
5,05056-03,22
5,05056-04,23
5,05009-03,24
5,05009-04,25
5,05009-05,26
5,05049-09,27
5,05075-03,28
5,05005-06,29
5,05005-08,30
5,05051-03,31
5,05051-04,32
5,05006-03,33
5,05006-04,34
5,05006-07,35
7,07005-04,1
7,07005-05,2
7,07044-03,3
7,07015-04,4
7,07015-05,5
7,07015-06,6
7,07015-07,7
7,07015-08,8
7,07007-04,9
7,07007-05,10
7,07043-03,11
7,07043-05,12
7,07006-03,13
7,07006-04,14
7,07064-03,15
7,07064-04,16
7,07064-05,17
7,07046-04,18
7,07046-05,19
7,07062-04,20
7,07062-05,21
7,07062-06,22
7,07001-03,23
7,07045-05,24
7,07040-05,25
7,07004-05,26
7,07004-06,27
7,07004-07,28
7,07063-03,29
7,07061-04,30
7,07038-08,31
7,07038-10,32
7,07038-11,33
7,07026-05,34
7,07026-06,35
8,08009-06,1
8,08009-08,2
8,08009-09,3
8,08068-02,4
8,08068-03,5
8,08060-04,6
8,08060-05,7
8,08060-06,8
8,08014-03,9
8,08014-04,10
8,08063-03,11
8,08063-04,12
8,08013-05,13
8,08007-04,14
8,08015-05,15
8,08015-06,16
8,08015-07,17
8,08019-03,18
8,08066-02,19
8,08066-03,20
8,08057-04,21
8,08010-03,22
8,08010-04,23
8,08067-04,24
8,08058-04,25
8,08058-05,26
