hhid,own_cattle,herd_preselected,hecon_hh_preselected
30008,yes,yes,yes
15046,yes,yes,yes
30013,yes,yes,yes
77188,yes,yes,yes
77098,yes,yes,yes
30089,yes,yes,yes
9077,yes,yes,yes
50096,yes,yes,yes
15030,yes,yes,yes
15056,yes,yes,yes
30073,yes,yes,yes
38005,yes,yes,yes
30117,yes,yes,yes
77167,yes,yes,yes
30050,yes,yes,yes
50078,yes,yes,yes
30043,yes,yes,yes
18040,yes,yes,yes
5051,yes,yes,yes
29093,yes,yes,yes
29062,yes,yes,yes
45139,yes,yes,yes
8019,yes,yes,yes
29045,yes,yes,yes
61025,yes,yes,yes
64013,yes,yes,yes
64018,yes,yes,yes
67027,yes,yes,yes
77173,yes,yes,yes
30106,yes,yes,yes
15060,yes,yes,yes
9097,yes,yes,yes
80161,yes,yes,yes
67035,yes,yes,yes
8037,yes,yes,yes
54025,yes,yes,yes
88485,yes,yes,yes
29105,yes,yes,yes
5015,yes,yes,yes
61032,yes,yes,yes
29037,yes,yes,yes
8039,yes,yes,yes
78002,yes,yes,yes
18012,yes,yes,yes
80073,yes,yes,yes
9013,yes,yes,yes
72007,yes,yes,yes
30046,yes,yes,yes
15010,yes,yes,yes
77164,yes,yes,yes
64003,yes,yes,yes
5056,yes,yes,yes
64015,yes,yes,yes
5006,yes,yes,yes
5046,yes,yes,yes
5020,yes,yes,yes
73002,yes,yes,yes
64017,yes,yes,yes
18018,yes,yes,yes
30105,yes,yes,yes
72011,yes,yes,yes
15061,yes,yes,yes
62035,yes,yes,yes
78020,yes,yes,yes
5062,yes,yes,yes
29123,yes,yes,yes
92008,yes,yes,yes
45129,yes,yes,yes
5013,yes,yes,yes
54009,yes,yes,yes
72009,yes,yes,yes
30003,yes,yes,yes
50039,yes,yes,yes
95071,yes,yes,yes
38007,yes,yes,yes
45118,yes,yes,yes
61035,yes,yes,yes
19042,yes,yes,yes
91038,yes,yes,yes
5049,yes,yes,yes
61006,yes,yes,yes
62005,yes,yes,yes
5060,yes,yes,yes
9085,yes,yes,yes
38044,yes,yes,yes
77083,yes,yes,yes
45103,yes,yes,yes
8041,yes,yes,yes
45054,yes,yes,yes
30086,yes,yes,yes
77065,yes,yes,yes
68020,yes,yes,yes
15005,yes,yes,yes
5043,yes,yes,yes
92004,yes,yes,yes
88153,yes,yes,yes
54013,yes,yes,yes
88175,yes,yes,yes
92006,yes,yes,yes
95079,yes,yes,yes
59044,yes,yes,yes
59049,yes,yes,yes
59038,yes,yes,yes
8043,yes,yes,yes
67089,yes,yes,yes
80013,yes,yes,yes
92040,yes,yes,yes
30053,yes,yes,yes
38022,yes,yes,yes
92003,yes,yes,yes
77158,yes,yes,yes
19050,yes,yes,yes
18044,yes,yes,yes
80050,yes,yes,yes
92015,yes,yes,yes
19015,yes,yes,yes
92050,yes,yes,yes
78012,yes,yes,yes
9023,yes,yes,yes
59043,yes,yes,yes
68023,yes,yes,yes
77180,yes,yes,yes
54049,yes,yes,yes
38038,no,no,yes
72022,no,no,yes
80127,no,no,yes
95162,no,no,yes
38058,no,no,yes
77009,no,no,yes
77004,no,no,yes
67057,no,no,yes
77029,no,no,yes
67088,no,no,yes
77224,no,no,yes
18014,no,no,yes
30070,no,no,yes
67067,no,no,yes
95194,no,no,yes
95096,no,no,yes
72010,no,no,yes
67055,no,no,yes
77019,no,no,yes
80156,no,no,yes
95046,no,no,yes
77179,no,no,yes
80029,no,no,yes
9005,no,no,yes
38008,no,no,yes
15013,no,no,yes
9063,no,no,yes
95002,no,no,yes
80151,no,no,yes
67043,no,no,yes
30056,no,no,yes
95085,no,no,yes
72036,no,no,yes
50086,no,no,yes
50031,no,no,yes
30111,no,no,yes
95044,no,no,yes
30120,no,no,yes
77155,no,no,yes
9030,no,no,yes
