cluster,extid
1,01004-01
1,01004-02
1,01005-01
1,01005-02
1,01006-01
1,01007-02
1,01009-01
1,01011-01
1,01011-05
1,01016-03
1,01016-04
1,01020-03
1,01023-03
1,01024-02
1,01025-03
4,04001-02
4,04003-01
4,04005-01
4,04007-01
4,04014-01
4,04015-02
4,04019-01
4,04020-03
4,04020-04
4,04021-01
4,04030-01
4,04030-02
4,04031-01
4,04043-01
4,04044-02
32,32001-01
32,32001-05
32,32002-01
32,32008-02
32,32009-04
32,32012-02
32,32014-05
32,32016-04
32,32018-02
32,32019-01
32,32025-01
32,32028-01
32,32032-02
32,32032-03
32,32033-01
35,35001-02
35,35001-03
35,35002-03
35,35003-02
35,35003-06
35,35004-02
35,35004-03
35,35005-01
35,35006-02
35,35008-01
35,35013-01
35,35013-02
35,35015-03
35,35022-02
35,35028-02
47,47016-04
47,47016-05
47,47019-09
47,47020-10
47,47023-01
47,47027-02
47,47028-01
47,47030-01
47,47030-02
47,47031-01
47,47032-01
47,47032-02
47,47035-03
47,47039-01
47,47042-02
52,52002-02
52,52008-02
52,52009-02
52,52010-01
52,52010-02
52,52011-02
52,52016-03
52,52017-01
52,52029-03
52,52040-03
52,52043-02
52,52051-02
52,52054-02
52,52059-02
52,52070-01
66,66002-01
66,66002-03
66,66003-03
66,66003-07
66,66003-08
66,66004-01
66,66005-04
66,66008-01
66,66014-01
66,66014-02
66,66015-01
66,66016-01
66,66016-09
66,66019-02
66,66023-02
71,71006-01
71,71006-02
71,71009-01
71,71010-02
71,71010-07
71,71013-01
71,71013-04
71,71014-01
71,71014-02
71,71020-01
71,71020-02
71,71021-01
71,71021-02
71,71023-01
71,71026-02
76,76001-01
76,76001-03
76,76004-03
76,76006-01
76,76006-02
76,76006-04
76,76008-01
76,76008-03
76,76008-05
76,76009-02
76,76009-03
76,76010-01
76,76012-01
76,76012-02
76,76016-01
86,86001-01
86,86002-02
86,86003-01
86,86005-01
86,86005-02
86,86007-02
86,86009-02
86,86011-02
86,86016-02
86,86016-07
86,86017-01
86,86020-01
86,86022-02
86,86032-01
86,86041-02
